"LOCATION","Country","SUB","Subject","YEA","Year",Value,Flags
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1960","1960",87.59,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1961","1961",90.99,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1962","1962",94.08,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1963","1963",99.93,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1964","1964",105.25,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1965","1965",111.28,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1966","1966",115.88,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1967","1967",122.39,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1968","1968",129.43,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1969","1969",135.64,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1964","1964",43,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1966","1966",40,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1969","1969",37,
"AUS","Australia","DOCTOR_G1","Practising physicians","1961","1961",1.13,
"AUS","Australia","DOCTOR_G1","Practising physicians","1964","1964",1.23,
"AUS","Australia","DOCTOR_G1","Practising physicians","1965","1965",1.22,
"AUS","Australia","DOCTOR_G1","Practising physicians","1966","1966",1.23,
"AUS","Australia","DOCTOR_G1","Practising physicians","1967","1967",1.26,
"AUS","Australia","DOCTOR_G1","Practising physicians","1968","1968",1.24,
"AUS","Australia","DOCTOR_G1","Practising physicians","1969","1969",1.26,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1960","1960",9.3,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1961","1961",9.4,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1962","1962",9.5,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1963","1963",9.8,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1964","1964",10.1,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1965","1965",10,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1966","1966",10.3,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1967","1967",10.8,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1968","1968",11.1,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1969","1969",11.6,
"AUS","Australia","SUICID_G1","Suicide rates","1960","1960",13.1,
"AUS","Australia","SUICID_G1","Suicide rates","1961","1961",14.5,
"AUS","Australia","SUICID_G1","Suicide rates","1962","1962",16.9,
"AUS","Australia","SUICID_G1","Suicide rates","1963","1963",19.2,
"AUS","Australia","SUICID_G1","Suicide rates","1964","1964",17.8,
"AUS","Australia","SUICID_G1","Suicide rates","1965","1965",18,
"AUS","Australia","SUICID_G1","Suicide rates","1966","1966",17.4,
"AUS","Australia","SUICID_G1","Suicide rates","1967","1967",18.4,
