"LOCATION","Country","SUB","Subject","YEA","Year",Value,Flags
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1970","1970",142.26,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1971","1971",144.14,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1972","1972",148.94,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1973","1973",158.54,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1974","1974",173.3,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1975","1975",180.03,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1976","1976",182.42,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1977","1977",196.73,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1978","1978",192.27,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1979","1979",198.29,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1980","1980",208,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1981","1981",208.33,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1982","1982",214.51,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1983","1983",202.52,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1984","1984",208.98,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1985","1985",221,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1986","1986",222.11,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1987","1987",231.99,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1988","1988",242.08,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","1989","1989",255.32,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1974","1974",37.8,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1976","1976",38.4,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1980","1980",36,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1983","1983",35.4,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1986","1986",30.6,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","1989","1989",28.6,
"AUS","Australia","DOCTOR_G1","Practising physicians","1970","1970",1.33,
"AUS","Australia","DOCTOR_G1","Practising physicians","1971","1971",1.26,
"AUS","Australia","DOCTOR_G1","Practising physicians","1972","1972",1.38,
"AUS","Australia","DOCTOR_G1","Practising physicians","1973","1973",1.35,
"AUS","Australia","DOCTOR_G1","Practising physicians","1974","1974",1.42,
"AUS","Australia","DOCTOR_G1","Practising physicians","1975","1975",1.48,
"AUS","Australia","DOCTOR_G1","Practising physicians","1976","1976",1.64,
"AUS","Australia","DOCTOR_G1","Practising physicians","1977","1977",1.65,
"AUS","Australia","DOCTOR_G1","Practising physicians","1978","1978",1.85,
"AUS","Australia","DOCTOR_G1","Practising physicians","1979","1979",1.78,
"AUS","Australia","DOCTOR_G1","Practising physicians","1980","1980",1.85,
"AUS","Australia","DOCTOR_G1","Practising physicians","1981","1981",1.86,
"AUS","Australia","DOCTOR_G1","Practising physicians","1982","1982",1.9,
"AUS","Australia","DOCTOR_G1","Practising physicians","1983","1983",1.95,
"AUS","Australia","DOCTOR_G1","Practising physicians","1984","1984",1.83,
"AUS","Australia","DOCTOR_G1","Practising physicians","1985","1985",1.91,
"AUS","Australia","DOCTOR_G1","Practising physicians","1986","1986",2.01,
"AUS","Australia","DOCTOR_G1","Practising physicians","1987","1987",2.06,
"AUS","Australia","DOCTOR_G1","Practising physicians","1988","1988",2.1,
"AUS","Australia","DOCTOR_G1","Practising physicians","1989","1989",2.14,
"AUS","Australia","NURSE_G1","Practising nurses","1980","1980",10.33,
"AUS","Australia","NURSE_G1","Practising nurses","1981","1981",9.91,
"AUS","Australia","NURSE_G1","Practising nurses","1982","1982",9.85,
"AUS","Australia","NURSE_G1","Practising nurses","1983","1983",9.87,
"AUS","Australia","NURSE_G1","Practising nurses","1984","1984",9.91,
"AUS","Australia","NURSE_G1","Practising nurses","1985","1985",9.55,
"AUS","Australia","NURSE_G1","Practising nurses","1986","1986",10.92,
"AUS","Australia","NURSE_G1","Practising nurses","1987","1987",11.37,
"AUS","Australia","NURSE_G1","Practising nurses","1988","1988",11.6,
"AUS","Australia","NURSE_G1","Practising nurses","1989","1989",11.72,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1970","1970",11.6,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","1971","1971",11.6,
