"LOCATION","Country","SUB","Subject","YEA","Year",Value,Flags
"AUS","Australia","PRODINCOM_G1","GDP per hour worked","2012","2012",53,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","2010","2010",387.3,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","2011","2011",388.32,
"AUS","Australia","AIRQTY_T1","CO2 emissions from fuel combustion","2012","2012",386.27,
"AUS","Australia","TEACHERS_T1A","Change in teachers'salary after 15 years of experience,minimum training","2011","2011",112.16,
"AUS","Australia","DISCLOSURE_G2","Level of disclosure of private interests and public availability of information","2012","2012",55,
"AUS","Australia","PISA_T1I","Mean scores on the science scale in PISA 2012: women","2012","2012",519.1244735,
"AUS","Australia","SMOKE_G1","Adult population smoking daily","2010","2010",15.1,
"AUS","Australia","DOCTOR_G1","Practising physicians","2011","2011",3.31,
"AUS","Australia","NURSE_G1","Practising nurses","2011","2011",10.09,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","2010","2010",10.3,
"AUS","Australia","ALCOHOL_G1","Alcohol consumption among population aged 15 and over","2011","2011",10.1,
"AUS","Australia","INFMORTY_G1A","Neonatal infant mortality rates ","2011","2011",2.7,
"AUS","Australia","MATHTREND_T1A","Mean score in mathematics","2012","2012",504.1507663,
"AUS","Australia","SOXNOX_T1A","Sulphur oxides emissions","2010","2010",2381.03,
"AUS","Australia","SOXNOX_T1A","Sulphur oxides emissions","2011","2011",2356.36,
"AUS","Australia","SOXNOX_T1A","Sulphur oxides emissions","2012","2012",2333.87,
"AUS","Australia","REGDISPUNEMP_G1","Gini index of regional unemployment rates","2012","2012",0.13,
"AUS","Australia","EDUTEREXPND_T1A","Expenditures on tertiary education institutions, spending per student","2010","2010",15142.08,
"AUS","Australia","SUICID_G1","Suicide rates","2010","2010",10.9,
"AUS","Australia","SUICID_G1","Suicide rates","2011","2011",10.1,
"AUS","Australia","OBESITY_G1A","Obesity rate among the adult population","2011","2011",28.3,
"AUS","Australia","POPGEO_G1","Share of national population in the ten per cent of regions with the largest population","2012","2012",64.47,
"AUS","Australia","AGEDPOPGEO_G1","Elderly population","2012","2012",13.78,
"AUS","Australia","STUDYABROAD_G2","Trends in international education market shares","2011","2011",6.11,
"AUS","Australia","TERTIARY_T1A","Population aged 25-34 below upper secondary educational attainment","2011","2011",15.57,
"AUS","Australia","REGDISPLABOUR_G1A","Differences in annual employment growth across regions: maximum","2012","2012",2.87,
"AUS","Australia","REGDISPLABOUR_G1B","Differences in annual employment growth across regions: minimum","2012","2012",1.3,
"AUS","Australia","TERTIARY_T1B","Population aged 25-34 upper secondary and post-secondary non-tertiary","2011","2011",39.8,
"AUS","Australia","AGEDPOPGEO_G2A","Regional elderly population: Maximum","2012","2012",6.13,
"AUS","Australia","AGEDPOPGEO_G2B","Regional elderly population: Country average","2012","2012",2.25,
"AUS","Australia","AGEDPOPGEO_G2C","Regional elderly population: Minimum","2012","2012",-1.66,
"AUS","Australia","OBESITY_G1B","Obesity rate among the adult population: women","2011","2011",28.3,
"AUS","Australia","ODA_T1B","Net official development assistance, millions of US dollars","2010","2010",3826.1,
"AUS","Australia","ODA_T1B","Net official development assistance, millions of US dollars","2011","2011",4982.91,
"AUS","Australia","ODA_T1B","Net official development assistance, millions of US dollars","2012","2012",5402.7,
"AUS","Australia","EDUTEREXPND_T1B","Expenditure on tertiary educational institutions, index","2010","2010",126.4,
"AUS","Australia","SOXNOX_T1B","Nitrogen oxides emissions","2010","2010",1669.794,
"AUS","Australia","SOXNOX_T1B","Nitrogen oxides emissions","2011","2011",1677.97,
"AUS","Australia","SOXNOX_T1B","Nitrogen oxides emissions","2012","2012",1706.717,
"AUS","Australia","MATHTREND_T1B","Annualised change in mathematics across PISA assessments","2012","2012",-2.20563639,
"AUS","Australia","INFMORTY_G1B","Post-neonatal infant mortality rates ","2011","2011",1.1,
"AUS","Australia","DOCTOR_G2A","General practitioners as a percentage of total physicians","2011","2011",47.31,
"AUS","Australia","DOCTOR_G2B","Specialists as a percentage of total physicians","2011","2011",49.47,
"AUS","Australia","DOCTOR_G2C","Other physicians as a percentage of total physicians","2011","2011",3.22,
"AUS","Australia","PISA_T1J","Standard error on the science scale in PISA 2012: women","2012","2012",2.09737174,
"AUS","Australia","TEACHERS_T1B","Teachers'starting salary,minimum training","2011","2011",34609.98,
"AUS","Australia","PRODINCOM_G2A","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita","2012","2012",-13,
"AUS","Australia","PRODINCOM_G2B","Levels of GDP per capita and labour productivity - Effect of labour utilisation","2012","2012",-17,
"AUS","Australia","PRODINCOM_G2C","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked","2012","2012",5,
"AUS","Australia","PISA_T1K","Mean scores on the science scale in PISA 2012: men","2012","2012",523.7282082,
"AUS","Australia","TEACHERS_T1C","Teachers'salary after 10 years of experience,minimum training","2011","2011",48522.47,
"AUS","Australia","SMOKE_G3B","Adult population smoking daily: females","2010","2010",16.4,
"AUS","Australia","SMOKE_G3A","Adult population smoking daily: males","2010","2010",13.9,
"AUS","Australia","DOCTOR_G3","Medical graduates","2010","2010",12.06,
"AUS","Australia","NURSE_G3","Nursing graduates","2010","2010",67.46,
"AUS","Australia","MATHTREND_T1C","All students","2012","2012",-20.11523794,
"AUS","Australia","INFMORTY_G2","Infant mortality","2010","2010",4.1,
"AUS","Australia","INFMORTY_G2","Infant mortality","2011","2011",3.8,
"AUS","Australia","INFMORTY_G2","Infant mortality","2012","2012",3.3,
"AUS","Australia","GREENHOUSE","Greenhouse gas emissions","2010","2010",548744.425,
"AUS","Australia","GREENHOUSE","Greenhouse gas emissions","2011","2011",552286.443,
"AUS","Australia","REGDISPUNEMP_G3A","Regional variation of the long-term unemployment rate: maximum","2011","2011",18.4,
"AUS","Australia","REGDISPUNEMP_G3B","Regional variation of the long-term unemployment rate: minimum","2011","2011",10.53,
"AUS","Australia","REGDISPUNEMP_G3C","Regional variation of the long-term unemployment rate: maximum-minimum","2012","2012",7.87,
"AUS","Australia","EDUTEREXPND_T1C","Expenditure on tertiary educational institutions,number of students","2010","2010",125.34,
"AUS","Australia","OBESITY_G1C","Obesity rate among the adult population: men","2011","2011",28.3,
"AUS","Australia","POPGEO_G3A","Distribution of the national population into urban regions","2012","2012",57.72,
"AUS","Australia","POPGEO_G3B","Distribution of the national population into intermediate regions","2012","2012",20.69,
"AUS","Australia","POPGEO_G3C","Distribution of the national population into rural regions","2012","2012",21.6,
"AUS","Australia","AGEDPOPGEO_G3A","Elderly dependency rate in urban regions","2012","2012",18.69,
"AUS","Australia","AGEDPOPGEO_G3B","Elderly dependency rate","2012","2012",20.46,
"AUS","Australia","AGEDPOPGEO_G3C","Elderly dependency rate in rural regions","2012","2012",24.51,
"AUS","Australia","TERTIARY_T1C","Population aged 25-34 tertiary education","2011","2011",44.61,
"AUS","Australia","REGDISPLABOUR_G1C","Differences in annual employment growth across regions: country average","2012","2012",2.87,
"AUS","Australia","REGDISPLABOUR_G2","Share of national employment growth due to the 10% of most dynamic regions","2012","2012",20.53,
"AUS","Australia","TERTIARY_T1D","Population aged 25-64 below upper secondary educational attainment","2011","2011",25.92,
"AUS","Australia","POPGEO_G4A","Distribution of the national area into urban regions","2012","2012",0.39,
"AUS","Australia","POPGEO_G4B","Distribution of the national area into intermediate regions","2012","2012",4.18,
"AUS","Australia","POPGEO_G4C","Distribution of the national area into rural regions","2012","2012",95.43,
"AUS","Australia","EDUTEREXPND_T1D","Expenditure on tertiary educational institutions, per student, index","2010","2010",100.84,
"AUS","Australia","MATHTREND_T1D","Boys","2012","2012",-16.77777473,
"AUS","Australia","TEACHERS_T1D","Teachers'salary after 15 years of experience, minimum training","2011","2011",48522.47,
"AUS","Australia","PISA_T1L","Standard error on the science scale in PISA 2012: men","2012","2012",2.508215442,
"AUS","Australia","PISA_T1A","Mean scores on the mathematics scale in PISA 2012: women","2012","2012",497.8213504,
"AUS","Australia","TEACHERS_T1E","Teachers'salary at top of scale,minimum training","2011","2011",48522.47,
"AUS","Australia","MATHTREND_T1E","Girls","2012","2012",-23.72883515,
"AUS","Australia","EDUTEREXPND_T1E","Expenditure on tertiary educational institutions, share of public sources","2010","2010",46.47,
"AUS","Australia","TERTIARY_T1E","Population aged 25-64 upper secondary and post-secondary non-tertiary","2011","2011",15.57,
"AUS","Australia","REGDISPLABOUR_G3A","Regional difference in the employment rate: maximum","2011","2011",74.8,
"AUS","Australia","REGDISPLABOUR_G3B","Regional difference in the employment rate: minimum","2011","2011",66.63,
"AUS","Australia","TERTIARY_T1F","Population aged 25-64 tertiary education","2011","2011",38.34,
"AUS","Australia","EDUTEREXPND_T1F","Expenditure on tertiary educational institutions, share of private sources","2010","2010",53.52,
"AUS","Australia","MATHTREND_T1F","Share of students below proficiency Level 2","2012","2012",5.324547186,
"AUS","Australia","PISA_T1B","Standard error on the mathematics scale in PISA 2012: women","2012","2012",2.040775158,
"AUS","Australia","PISA_T1C","Mean scores on the mathematics scale in PISA 2012: men","2012","2012",510.1148515,
"AUS","Australia","MATHTREND_T1G","Share of students at proficiency Level 5 or above","2012","2012",-4.965408113,
"AUS","Australia","NETMIGR_T1G","Total","2010","2010",208.489,
"AUS","Australia","NETMIGR_T1G","Total","2011","2011",219.478,
"AUS","Australia","REGDISPLABOUR_G3C","Regional difference in the employment rate: country average","2011","2011",69.07,
"AUS","Australia","EXEDULV_T1H","Share of private sources","2010","2010",15.3,
"AUS","Australia","PISA_T1D","Standard error on the mathematics scale in PISA 2012: men","2012","2012",2.405359855,
"AUS","Australia","PISA_T1E","Mean scores on the reading scale in PISA 2012: women","2012","2012",529.5422806,
"AUS","Australia","PISA_T1F","Standard error on the reading scale in PISA 2012: women","2012","2012",1.967403488,
"AUS","Australia","EVOPOP_T1","Population levels","2010","2010",22032,
"AUS","Australia","EVOPOP_T1","Population levels","2011","2011",22340,
"AUS","Australia","EVOPOP_T1","Population levels","2012","2012",22724,B
"AUS","Australia","EVOPOP_T1","Population levels","2013","2013",23131,
"AUS","Australia","EVOPOP_T1","Population levels","2014","2014",23524,
"AUS","Australia","PISA_T1H","Standard error on the reading scale in PISA 2012: men","2012","2012",2.293139275,
"AUS","Australia","EVOPOP_T2","Population growth rates","2010","2010",1.567398,
"AUS","Australia","EVOPOP_T2","Population growth rates","2011","2011",1.397967,
"AUS","Australia","EVOPOP_T2","Population growth rates","2012","2012",1.71889,B
"AUS","Australia","EVOPOP_T4","Working age population","2010","2010",67.3838,
"AUS","Australia","EVOPOP_T4","Working age population","2011","2011",67.22919,
"AUS","Australia","EVOPOP_T4","Working age population","2012","2012",66.91604,
"AUS","Australia","EVOPOP_T4","Working age population","2013","2013",66.66811,
"AUS","Australia","EVOPOP_T3","Total fertility rates","2010","2010",1.95,
"AUS","Australia","EVOPOP_T3","Total fertility rates","2011","2011",1.92,
"AUS","Australia","EVOPOP_T3","Total fertility rates","2012","2012",1.93,
"AUS","Australia","AGEING_T1A","Youth population (under the age of 15)","2010","2010",19.05864,
"AUS","Australia","AGEING_T1A","Youth population (under the age of 15)","2011","2011",18.95255,
"AUS","Australia","AGEING_T1A","Youth population (under the age of 15)","2012","2012",18.92713,B
"AUS","Australia","AGEING_T1A","Youth population (under the age of 15)","2013","2013",18.90022,
"AUS","Australia","AGEING_T1A","Youth population (under the age of 15)","2014","2014",18.90835,
"AUS","Australia","AGEING_T1B","Elderly population (age 65 and over)","2010","2010",13.55755,
"AUS","Australia","AGEING_T1B","Elderly population (age 65 and over)","2011","2011",13.82274,
"AUS","Australia","AGEING_T1B","Elderly population (age 65 and over)","2012","2012",14.15684,B
"AUS","Australia","AGEING_T1B","Elderly population (age 65 and over)","2013","2013",14.43023,
"AUS","Australia","AGEING_T1B","Elderly population (age 65 and over)","2014","2014",14.66587,
"AUS","Australia","MIGFORPOP_T1A","Foreign-born population","2011","2011",26.7,
"AUS","Australia","NETMIGR_T1C","Permanent inflows by category of entry: accompanying family of workers","2010","2010",61.376892,
"AUS","Australia","NETMIGR_T1C","Permanent inflows by category of entry: accompanying family of workers","2011","2011",57.54485,
"AUS","Australia","NETMIGR_T1E","Permanent inflows by category of entry: humanitarian","2010","2010",14.553,
"AUS","Australia","NETMIGR_T1E","Permanent inflows by category of entry: humanitarian","2011","2011",13.976,
"AUS","Australia","NETMIGR_T1D","Permanent inflows by category of entry: family","2010","2010",59.453,
"AUS","Australia","NETMIGR_T1D","Permanent inflows by category of entry: family","2011","2011",54.708,
"AUS","Australia","NETMIGR_T1B","Permanent inflows by category of entry: free movements","2010","2010",24.447,
"AUS","Australia","NETMIGR_T1B","Permanent inflows by category of entry: free movements","2011","2011",34.567,
"AUS","Australia","NETMIGR_T1A","Permanent inflows by category of entry: work","2010","2010",46.491108,
"AUS","Australia","NETMIGR_T1A","Permanent inflows by category of entry: work","2011","2011",56.18015,
"AUS","Australia","NETMIGR_T1F","Permanent inflows by category of entry: Other","2010","2010",2.168,
"AUS","Australia","NETMIGR_T1F","Permanent inflows by category of entry: Other","2011","2011",2.502,
"AUS","Australia","MIGEDUEMP_T1C","Employment rates of native-born  population by educational attainment: Total","2010","2010",77.293,
"AUS","Australia","MIGEDUEMP_T1C","Employment rates of native-born  population by educational attainment: Total","2011","2011",77.382,
"AUS","Australia","MIGEDUEMP_T1C","Employment rates of native-born  population by educational attainment: Total","2012","2012",77.134,
"AUS","Australia","MIGEDUEMP_T1F","Employment rates of foreign-born  population by educational attainment: Total","2010","2010",71.985,
"AUS","Australia","MIGEDUEMP_T1F","Employment rates of foreign-born  population by educational attainment: Total","2011","2011",73.126,
"AUS","Australia","MIGEDUEMP_T1F","Employment rates of foreign-born  population by educational attainment: Total","2012","2012",72.864,
"AUS","Australia","MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","2010","2010",5.264,
"AUS","Australia","MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","2011","2011",5.209,
"AUS","Australia","MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","2012","2012",5.44,
"AUS","Australia","MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","2010","2010",5.09,
"AUS","Australia","MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","2011","2011",4.612,
"AUS","Australia","MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","2012","2012",4.903,
"AUS","Australia","MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","2010","2010",5.222,
"AUS","Australia","MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","2011","2011",5.194,
"AUS","Australia","MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","2012","2012",5.226,
"AUS","Australia","MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","2010","2010",6.112,
"AUS","Australia","MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","2011","2011",5.995,
