"LOCATION","Country","SUB","Subject","YEA","Year",Value,Flags
"KOR","Korea","PRODINCOM_G1","GDP per hour worked","2012","2012",28.9,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1960","1960",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1961","1961",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1962","1962",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1963","1963",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1964","1964",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1965","1965",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1966","1966",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1967","1967",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1968","1968",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1969","1969",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1970","1970",,L
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1971","1971",52.07,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1972","1972",53.96,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1973","1973",67.27,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1974","1974",70.75,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1975","1975",76.76,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1976","1976",85.37,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1977","1977",97.68,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1978","1978",106.42,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1979","1979",120.04,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1980","1980",124.38,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1981","1981",129.41,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1982","1982",129.04,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1983","1983",136.97,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1984","1984",148.88,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1985","1985",153.25,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1986","1986",159.66,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1987","1987",165.95,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1988","1988",189.33,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1989","1989",200.45,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1990","1990",229.3,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1991","1991",254.27,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1992","1992",276.91,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1993","1993",304.2,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1994","1994",329.04,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1995","1995",358.65,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1996","1996",383.72,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1997","1997",407.91,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1998","1998",351.06,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","1999","1999",385.35,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","2000","2000",437.72,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","2001","2001",452.07,
"KOR","Korea","AIRQTY_T1","CO2 emissions from fuel combustion","2002","2002",446.13,
